singer_mid,singer_name
0025NhlN2yWrP4,周杰伦
003Nz2So3XXYek,陈奕迅
001BLpXF2DyJe2,林俊杰
002YetSZ06c9c9,王靖雯不胖
002J4UUk29y8BY,薛之谦
001fNHEf1SFEFN,G.E.M. 邓紫棋
0039JTTG0s4SCv,时代少年团
000CK5xN3yZDJt,许嵩
003fA5G40k6hKc,周深
00067r4p0wBDDN,任然
000aHmbL2aPXWH,李荣浩
003iPzNg35cWzp,程响
000cISVf2QqLc6,莫文蔚
001BHDR33FZVZ0,毛不易
00257xNB06Ucx6,柳爽
000NUoMp2WAEpO,郁可唯
001z2JmX09LLgL,汪苏泷
002azErJ0UcDN6,张杰
001B2drs3Jq4EX,等什么君(邓寓君)
002pUZT93gF4Cu,BEYOND
002ZOuVm3Qn20Y,李宇春
002lKaDq2lLLtk,苏星婕
000Sp0Bz4JXH0o,五月天
000GDDuQ3sGQiT,王菲
001JDzPT3JdvqK,王力宏
004NMZuf2BLjg8,周传雄
003nS2v740Lxcw,李克勤
0020PeOh4ZaCw1,Alan Walker (艾兰·沃克)
004Be55m1SJaLk,张学友
003DBAjk2MMfhR,BLACKPINK
0003ZpE43ypssl,张碧晨
000PeZCQ1i4XVs,房东的猫
003jTY4I4f2ETE,赵乃吉
002raUWw3PXdkT,张韶涵
004GZcGF2ZgJYo,白小白
000aw4WC2EQYTv,张靓颖
001QVwtq3l8cKC,EXO (엑소)
001ZVMXf3ZYVX7,曲肖冰
0002ankM4d5yZI,郭顶
000qrPik2w6lDr,Taylor Swift (泰勒·斯威夫特)
001f0VyZ1hmWZ1,林宥嘉
0000mFvh1jtLcz,张信哲
000oCQfT3kdonw,黄霄雲
001pWERg3vFgg8,孙燕姿
000hNnWC3kko2c,蔡健雅
004YXxql1sSr2o,金志文
004AlfUb0cVkN1,BIGBANG (빅뱅)
003W0GsQ2bAxVU,Imagine Dragons (梦龙)
003jJGvv3C82KZ,刘若英
001Lr98T0yEWAk,赵雷
003aQYLo2x8izP,刘德华
000JvETZ3tOrPR,陈慧娴
